출발지역,출발지방향총교통량,도착지방향총교통량,전체교통량
순창,2,4,6
진안,4,5,9
남원,17,16,33
고창,32,31,63
임실,41,34,75
김제,40,41,81
부안,50,75,125
정읍,63,62,125
장수,71,67,138
익산,151,115,266
군산,105,209,314
무주,180,174,354
전주,238,234,472
