,데이터 처리 및 관리 솔루션 개발공급업,,데이터 구축 및 컨설팅 서비스업,,데이터 판매 및 제공 서비스업,,데이터 인프라 서비스업,
,2025년,향후 5년,2025년,향후 5년,2025년,향후 5년,2025년,향후 5년
인력수,"3,242","6,566","4,091","8,439","3,396","8,143",584,"1,336"
