,데이터 처리 및 관리 솔루션 개발공급업,데이터 구축 및 컨설팅 서비스업,데이터 판매 및 제공 서비스업,데이터 인프라 서비스업
데이터 컨설턴트,10.8,7.6,23.4,6.9
데이터 기획자,9.7,15.4,9.6,3.8
데이터 아키텍트,4.5,4.4,8.4,1.4
데이터 개발자,19.7,13.6,17.9,6.9
데이터 엔지니어,19.8,8.9,10.9,2.7
데이터베이스 관리자,17.7,4.1,7.4,4.5
데이터 분석가,23.7,10.8,13.5,5.1
데이터 과학자,34.8,25.5,44.7,25.6
평균,17.3,10.6,14.1,5.5
