전국,2020년,2021년,2022년,2023년,2024년,2025년
서울/인천/경기,201,207,212,212,217,225
강원도,73,75,77,77,81,82
충남/세종/대전,179,183,189,191,202,205
충청북도,123,128,130,135,140,144
경북/대구/울산,197,196,201,204,210,213
경남/부산,241,243,243,245,249,248
전라북도,88,89,90,90,90,90
전라남도,117,118,118,120,121,122
